#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
4.3500e+001 1.6873e+009 1.5396e+009 1.4023e+009
4.3600e+001 1.6872e+009 1.5396e+009 1.4022e+009
4.3700e+001 1.6872e+009 1.5396e+009 1.4022e+009
4.3800e+001 1.6871e+009 1.5395e+009 1.4022e+009
4.3900e+001 1.6871e+009 1.5395e+009 1.4022e+009
4.4000e+001 1.6870e+009 1.5394e+009 1.4021e+009
4.4100e+001 1.6870e+009 1.5394e+009 1.4021e+009
4.4200e+001 1.6870e+009 1.5394e+009 1.4021e+009
4.4300e+001 1.6869e+009 1.5393e+009 1.4020e+009
4.4400e+001 1.6869e+009 1.5393e+009 1.4020e+009
4.4500e+001 1.6868e+009 1.5393e+009 1.4020e+009
4.4600e+001 1.6868e+009 1.5392e+009 1.4020e+009
4.4700e+001 1.6867e+009 1.5392e+009 1.4019e+009
4.4800e+001 1.6867e+009 1.5392e+009 1.4019e+009
4.4900e+001 1.6867e+009 1.5391e+009 1.4019e+009
4.5000e+001 1.6866e+009 1.5391e+009 1.4019e+009
4.5100e+001 1.6866e+009 1.5391e+009 1.4018e+009
4.5200e+001 1.6865e+009 1.5390e+009 1.4018e+009
